Dates,Volume,Change,Direction
Fri 22 Jan '99,2.71 B,,UP
Mon 25 Jan '99,510.48 M,+0.0043 (+10.47%),UP
Tue 26 Jan '99,343.2 M,-0.0035 (-7.76%),UP
Wed 27 Jan '99,244.37 M,-0.0001 (-0.31%),UP
Thu 28 Jan '99,227.52 M,-0.0001 (-0.31%),UP
Fri 29 Jan '99,244.03 M,-0.0020 (-4.70%),UP
Mon 01 Feb '99,154.7 M,+0.0008 (+1.97%),UP
Tue 02 Feb '99,264.09 M,-0.0031 (-7.74%),UP
Wed 03 Feb '99,75.12 M,+0.0008 (+2.10%),UP
Thu 04 Feb '99,181.92 M,+0.0021 (+5.48%),UP
Fri 05 Feb '99,136.85 M,+0.0012 (+2.92%),UP
Mon 08 Feb '99,154.08 M,-0.0014 (-3.47%),UP
Tue 09 Feb '99,86.98 M,-0.0016 (-3.92%),UP
Wed 10 Feb '99,148.22 M,-0.0004 (-1.02%),UP
Thu 11 Feb '99,132.24 M,+0.0033 (+8.59%),UP
Fri 12 Feb '99,109.73 M,+0.0023 (+5.70%),UP
Tue 16 Feb '99,211.01 M,+0.0003 (+0.60%),UP
Wed 17 Feb '99,67.73 M,-0.0023 (-5.36%),UP
Thu 18 Feb '99,70.7 M,+0.0007 (+1.57%),UP
Tue 23 Feb '99,138.1 M,+0.0021 (+4.76%),UP
Wed 24 Feb '99,612.76 M,+0.0036 (+7.95%),UP
Tue 23 Mar '99,163.97 M,-0.0026 (-6.14%),DOWN
Wed 24 Mar '99,60.86 M,-0.0003 (-0.65%),DOWN
Fri 23 Apr '99,126.05 M,-0.0018 (-4.83%),DOWN
Mon 26 Apr '99,123.5 M,-0.0018 (-5.07%),DOWN
Tue 18 May '99,151.54 M,+0.0018 (+4.64%),UP
Wed 30 Jun '99,269.23 M,+0.0033 (+8.90%),UP
Fri 02 Jul '99,224.88 M,+0.0027 (+7.24%),UP
Tue 06 Jul '99,198.09 M,+0.0001 (+0.32%),UP
