Dates,Volume,Change,Direction,Dayname
2020-01-13,320.34 M,+0.19 (+3.14%),UP,Monday
2020-02-10,529.61 M,+0.28 (+4.52%),UP,Monday
2020-02-11,638.56 M,+0.12 (+1.87%),UP,Tuesday
2020-02-12,374.64 M,+0.12 (+1.74%),UP,Wednesday
2020-02-14,1.04 B,+0.48 (+7.02%),UP,Friday
2020-02-18,621.88 M,+0.17 (+2.34%),UP,Tuesday
2020-02-19,694.33 M,+0.45 (+6.11%),UP,Wednesday
2020-02-20,810.05 M,-0.15 (-1.91%),UP,Thursday
2020-03-12,816.54 M,-0.75 (-12.24%),DOWN,Thursday
2020-03-16,726.97 M,-1.11 (-18.45%),DOWN,Monday
2020-05-20,587.54 M,+0.16 (+1.87%),UP,Wednesday
2020-06-22,398.47 M,+0.27 (+2.87%),UP,Monday
2020-07-06,315.89 M,+0.23 (+2.36%),UP,Monday
2020-07-08,365.48 M,+0.34 (+3.49%),UP,Wednesday
2020-07-09,494.55 M,+0.29 (+2.87%),UP,Thursday
2020-07-10,497.67 M,-0.03 (-0.28%),UP,Friday
2020-08-03,413.02 M,+0.40 (+3.73%),UP,Monday
2020-08-04,310.34 M,+0.22 (+1.98%),UP,Tuesday
2020-08-05,250.5 M,+0.06 (+0.53%),UP,Wednesday
2020-08-06,244.32 M,+0.05 (+0.43%),UP,Thursday
2020-09-02,874.01 M,+0.53 (+3.80%),UP,Wednesday
2020-10-01,525 M,+0.08 (+0.62%),UP,Thursday
2020-10-28,376.52 M,-0.77 (-5.75%),DOWN,Wednesday
2020-12-09,401.3 M,-0.42 (-3.14%),DOWN,Wednesday
2021-01-06,580.42 M,-0.79 (-5.90%),DOWN,Wednesday
2021-02-08,434.62 M,+0.85 (+6.24%),UP,Monday
2021-02-10,485.35 M,+0.50 (+3.51%),UP,Wednesday
2021-02-11,450.83 M,+0.49 (+3.30%),UP,Thursday
2021-02-16,321.96 M,+0.37 (+2.47%),UP,Tuesday
2021-03-03,377.59 M,-0.60 (-4.49%),DOWN,Wednesday
2021-03-04,573.35 M,-0.43 (-3.39%),DOWN,Thursday
2021-03-08,543.11 M,-0.87 (-6.97%),DOWN,Monday
2021-04-07,251.28 M,+0.28 (+2.03%),UP,Wednesday
2021-04-15,598.48 M,+0.86 (+5.63%),UP,Thursday
2021-05-12,303.41 M,-0.55 (-3.83%),DOWN,Wednesday
2021-05-13,285.73 M,-0.09 (-0.68%),DOWN,Thursday
2021-06-02,594.17 M,+0.51 (+3.16%),UP,Wednesday
2021-06-04,617.12 M,+0.61 (+3.59%),UP,Friday
2021-06-28,495.44 M,+0.95 (+5.01%),UP,Monday
2021-08-20,675.74 M,+1.02 (+5.14%),UP,Friday
2021-08-23,575.81 M,+1.14 (+5.49%),UP,Monday
2021-08-24,297.3 M,-0.16 (-0.75%),UP,Tuesday
2021-08-25,347.7 M,+0.42 (+1.93%),UP,Wednesday
2021-09-20,349.44 M,-0.79 (-3.59%),DOWN,Monday
2021-09-21,204.69 M,+0.13 (+0.63%),DOWN,Tuesday
2021-09-28,343.07 M,-0.96 (-4.44%),DOWN,Tuesday
2021-09-29,218.39 M,-0.18 (-0.88%),DOWN,Wednesday
2021-10-04,345.63 M,-1.01 (-4.87%),DOWN,Monday
2021-10-25,230.23 M,+0.44 (+1.94%),UP,Monday
2021-10-26,485.9 M,+1.55 (+6.70%),UP,Tuesday
2021-10-27,245.99 M,-0.27 (-1.08%),UP,Wednesday
2021-12-13,598.34 M,-2.04 (-6.75%),DOWN,Monday
2022-01-19,488.31 M,-0.84 (-3.23%),DOWN,Wednesday
2022-03-07,450.82 M,-1.58 (-6.91%),DOWN,Monday
2022-03-24,877.38 M,+2.52 (+9.82%),UP,Thursday
2022-05-09,644.45 M,-1.73 (-9.24%),DOWN,Monday
2022-06-02,648.66 M,+1.27 (+6.94%),UP,Thursday
2022-07-20,760.54 M,+0.81 (+4.80%),UP,Wednesday
2022-08-26,769.13 M,-1.65 (-9.23%),DOWN,Friday
2022-08-29,496.13 M,-0.46 (-2.82%),DOWN,Monday
2022-08-30,530.18 M,-0.33 (-2.11%),DOWN,Tuesday
2022-08-31,573.71 M,-0.37 (-2.42%),DOWN,Wednesday
2022-10-10,698.7 M,-0.41 (-3.36%),DOWN,Monday
2022-10-28,521.04 M,+0.66 (+4.99%),UP,Friday
2022-11-10,700.82 M,+1.97 (+14.33%),UP,Thursday
2022-11-11,655.49 M,+0.58 (+3.66%),UP,Friday
2022-11-14,527.85 M,-0.03 (-0.20%),UP,Monday
2022-11-15,545.88 M,+0.37 (+2.28%),UP,Tuesday
2022-12-13,656.59 M,+0.54 (+3.06%),UP,Tuesday
2022-12-27,464.9 M,-1.08 (-7.14%),DOWN,Tuesday
2022-12-28,351.07 M,-0.09 (-0.60%),DOWN,Wednesday
2023-01-23,655.16 M,+1.35 (+7.59%),UP,Monday
2023-01-24,496.2 M,+0.07 (+0.38%),UP,Tuesday
2023-03-22,797.3 M,+0.27 (+1.03%),UP,Wednesday
2023-03-23,564.89 M,+0.72 (+2.73%),UP,Thursday
2023-05-01,570.33 M,+1.16 (+4.18%),UP,Monday
2023-05-08,344.98 M,+0.47 (+1.64%),UP,Monday
2023-05-17,432.54 M,+0.96 (+3.30%),UP,Wednesday
2023-07-13,478.2 M,+2.07 (+4.73%),UP,Thursday
2023-07-14,772.08 M,-0.51 (-1.10%),UP,Friday
2023-07-17,510.49 M,+0.99 (+2.18%),UP,Monday
2023-07-18,570.19 M,+1.03 (+2.22%),UP,Tuesday
2023-08-09,586.45 M,-2.11 (-4.72%),DOWN,Wednesday
2023-08-10,492.71 M,-0.17 (-0.39%),DOWN,Thursday
2023-08-11,533.09 M,-1.53 (-3.62%),DOWN,Friday
2023-08-29,701.4 M,+1.95 (+4.16%),UP,Tuesday
2023-09-20,367.11 M,-1.28 (-2.94%),DOWN,Wednesday
2023-09-21,450.74 M,-1.22 (-2.89%),DOWN,Thursday
2023-10-26,541 M,-1.45 (-3.48%),DOWN,Thursday
2023-11-10,422.44 M,+1.38 (+2.95%),UP,Friday
2024-01-10,533.8 M,+1.21 (+2.28%),UP,Wednesday
2024-01-11,596.76 M,+0.47 (+0.87%),UP,Thursday
2024-01-12,352.99 M,-0.11 (-0.20%),UP,Friday
2024-01-16,449.58 M,+1.67 (+3.06%),UP,Tuesday
2024-02-22,865.1 M,+11.07 (+16.40%),UP,Thursday
2024-03-04,615.62 M,+2.96 (+3.60%),UP,Monday
2024-03-06,582.52 M,+2.74 (+3.18%),UP,Wednesday
2024-03-07,608.12 M,+3.97 (+4.47%),UP,Thursday
2024-04-19,875.2 M,-8.47 (-10.00%),DOWN,Friday
2024-05-23,835.07 M,+8.85 (+9.32%),UP,Thursday
2024-05-24,429.49 M,+2.67 (+2.57%),UP,Friday
2024-05-28,652.73 M,+7.43 (+6.98%),UP,Tuesday
2024-05-29,557.44 M,+0.92 (+0.81%),UP,Wednesday
2024-07-24,327.78 M,-8.34 (-6.80%),DOWN,Wednesday
2024-07-25,460.07 M,-1.97 (-1.72%),DOWN,Thursday
2024-07-30,486.83 M,-7.86 (-7.04%),DOWN,Tuesday
2024-08-19,318.33 M,+5.42 (+4.35%),UP,Monday
2024-10-08,285.72 M,+5.17 (+4.05%),UP,Tuesday
2024-10-09,246.19 M,-0.24 (-0.18%),UP,Wednesday
2024-10-10,242.31 M,+2.16 (+1.63%),UP,Thursday
2024-11-07,207.32 M,+3.27 (+2.25%),UP,Thursday
